"","Year","Week","Week.Ending","Geo.Level","State","State.ANSI","Prc.Excellent","Prc.Good","Prc.Fair","Prc.Poor","Prc.VeryPoor"
"ALABAMA-2014-04-27",2014,17,"2014-04-27","STATE","ALABAMA",1,5,66,29,0,0
"ALABAMA-2014-05-04",2014,18,"2014-05-04","STATE","ALABAMA",1,8,64,28,0,0
"ALABAMA-2014-05-11",2014,19,"2014-05-11","STATE","ALABAMA",1,8,69,23,0,0
"ALABAMA-2014-05-18",2014,20,"2014-05-18","STATE","ALABAMA",1,8,71,20,1,0
"ALABAMA-2014-05-25",2014,21,"2014-05-25","STATE","ALABAMA",1,9,71,19,1,0
"ALABAMA-2014-06-01",2014,22,"2014-06-01","STATE","ALABAMA",1,12,68,19,1,0
"ALABAMA-2014-06-08",2014,23,"2014-06-08","STATE","ALABAMA",1,17,65,17,1,0
"ALABAMA-2014-06-15",2014,24,"2014-06-15","STATE","ALABAMA",1,19,64,16,1,0
"ALABAMA-2014-06-22",2014,25,"2014-06-22","STATE","ALABAMA",1,20,61,18,1,0
"ALABAMA-2014-06-29",2014,26,"2014-06-29","STATE","ALABAMA",1,22,61,16,1,0
"ALABAMA-2014-07-06",2014,27,"2014-07-06","STATE","ALABAMA",1,23,64,12,1,0
"ALABAMA-2014-07-13",2014,28,"2014-07-13","STATE","ALABAMA",1,22,65,12,1,0
"ALABAMA-2014-07-20",2014,29,"2014-07-20","STATE","ALABAMA",1,22,63,13,2,0
"ALABAMA-2014-07-27",2014,30,"2014-07-27","STATE","ALABAMA",1,24,63,11,2,0
"ALABAMA-2014-08-03",2014,31,"2014-08-03","STATE","ALABAMA",1,24,61,13,2,0
"ALABAMA-2014-08-10",2014,32,"2014-08-10","STATE","ALABAMA",1,25,59,13,3,0
"ALABAMA-2014-08-17",2014,33,"2014-08-17","STATE","ALABAMA",1,24,59,14,3,0
"ALABAMA-2014-08-24",2014,34,"2014-08-24","STATE","ALABAMA",1,25,59,13,3,0
"ALABAMA-2014-08-31",2014,35,"2014-08-31","STATE","ALABAMA",1,27,56,14,3,0
"ALABAMA-2014-09-07",2014,36,"2014-09-07","STATE","ALABAMA",1,27,56,14,3,0
"ALABAMA-2014-09-14",2014,37,"2014-09-14","STATE","ALABAMA",1,27,56,14,3,0
